px,py,pz
0.1635661325165719,-0.0087805041977853,0.6873124075224908
0.1640423135468454,-0.0076772722186464,0.6912852024887548
0.1645696406508937,-0.0067586621515678,0.6954349568684894
0.1651193792169744,-0.0060638505184289,0.6996109267726088
0.1656936571525804,-0.0055816676110932,0.7037710145892521
0.1663056404807351,-0.0053228668877572,0.7080007583155777
0.1669392223936139,-0.0052881580555077,0.7122652217980584
0.1539562761711352,-0.0056550793647766,0.7158439534505204
0.1682448043823242,-0.0058925763538905,0.7206789507184713
0.1689262657165526,-0.0065336401760578,0.7248935356140138
0.1696021085796935,-0.0074044270659937,0.7290424453272963
0.1702753429412841,-0.0084550787508487,0.7331284790039064
0.1709635615493312,-0.0097119560241699,0.7371896806196734
0.1716448498350201,-0.0111790813099254,0.7412134251450048
0.1723362052223899,-0.0128300343715783,0.7451721320874762
0.173029756488222,-0.0146601197791822,0.749010028261127
0.1737255702163234,-0.0166696447314638,0.7527470314719461
0.1744212914669152,-0.0188483226082541,0.7563637954249526
0.1750976192589961,-0.0212092901865641,0.7598941798354639
0.1757861170913233,-0.0237424586902965,0.7632855206113875
