px,py,pz
0.2093059539794922,-0.0516504013755104,0.7112557539506394
0.2064949151241418,-0.0457889792702414,0.7121797929243607
0.203260215065696,-0.0400432742725719,0.7131671364524148
0.199656509399414,-0.0345361091151382,0.7142018931995738
0.1956922607421874,-0.0292801118908506,0.7152719560102982
0.1914083270448626,-0.0243222477652809,0.7163703761245266
0.1867916037819602,-0.0196725145975748,0.7175253018465908
0.1819193434281782,-0.0153609530709006,0.7186739280007102
0.1247590100688318,-0.0061446292092723,0.7178376327022428
0.1070670667375836,-0.0054571492671966,0.7183953813825336
0.165660676744249,-0.0045347151403073,0.7223107819733798
0.159811944210168,-0.0016798546386487,0.7235825620709044
0.1537971917354699,0.0007776179331721,0.7248696344549003
0.1476332466819069,0.002818950992642,0.7261532148881391
0.1413279881332859,0.0044393868301854,0.7274656039151279
0.134933652935606,0.0056380567406163,0.7287728345466381
0.1284718831380208,0.0064067878000664,0.7300670757871686
0.1219759378144235,0.0067546186880631,0.7313388875325522
0.1155097351074218,0.0066605676015218,0.7325759536280777
0.1090140013261275,0.0061313466447772,0.7338051073478928
