step,rpx,rpy,rpz,area,tpx,tpy,tpz
0.0,-0.03178717143730478,0.07388999367262647,-0.1678689736723898,0.1949366406057461,0.019138697192998672,0.10823109423816502,0.8827839794168534
40.0,-0.004070590712322402,0.0646196006746841,-0.1702430748116055,0.11477232630162716,-0.0015682137715389063,0.10861637445821108,0.9038209640752223
80.0,0.026484446284086548,0.04998877477862877,-0.172830514221334,0.08530002530534123,-0.02270644806060586,0.1085578643817876,0.9315256617839497
120.0,0.038457493702631185,0.029967501322170735,-0.17362529628857346,0.13839333901063688,-0.024676127179648552,0.10804170565161296,0.9553943501656105
160.0,0.03285394040656858,0.011052458891358488,-0.17751961091757848,0.08889068679265795,-0.011277276025229335,0.11183238102860898,0.9702806830425992
200.0,0.014587289969968144,0.0027087835727196787,-0.18261676926928816,0.09253246061008634,0.008893878374365548,0.11817497231407625,0.9695134510117479
240.0,-0.014551260133694462,-0.0010075633673926017,-0.18782906500491478,0.07876237579346844,0.03693338676560597,0.12546697521326508,0.9594262131007559
280.0,-0.03983286915523995,-0.005195960618143602,-0.1870887483290968,0.07077008612924511,0.06179613753532539,0.1264781501999995,0.951327020346774
320.0,-0.05946705936686503,-0.008642296407798436,-0.1898484326075209,0.05435402707665079,0.08107693338015941,0.13039667081978218,0.945331791235739
360.0,-0.07731795357059819,-0.012756084641690507,-0.18934997352804125,0.049459981270238505,0.09910777422263688,0.13097977787449255,0.9406280843551658
400.0,-0.09087732560881523,-0.01890861520910224,-0.19078301320566765,0.0407802736289386,0.11408562208903343,0.13315343493990733,0.939810095072804
440.0,-0.09900035212098961,-0.03741770631530607,-0.19077887669790067,0.05611073247059216,0.13032706347898912,0.13326041337865516,0.9525416662074804
480.0,-0.0961610863056235,-0.0381234452910572,-0.1903964978844429,0.038363373952889766,0.12829090990416683,0.132848229145051,0.9544176884895968
520.0,-0.07625387882483751,-0.04731669016102588,-0.18680178347255813,0.04423503888810162,0.11461738610900991,0.12811302767576752,0.9721108742879556
560.0,-0.06381412450897592,-0.037021154104344076,-0.1976729656739166,0.03273850517646331,0.09800182627897826,0.13795581547123825,0.9692041825670591
600.0,-0.04426466387151157,-0.02797332609925677,-0.20404807577073172,0.03173817082395516,0.0760019873571932,0.14321420879406122,0.9704233233257368
640.0,-0.025136479165757654,-0.023442575215037963,-0.20406092987091012,0.07572885939249016,0.05657325386547646,0.14226030190607492,0.9753575034670202
680.0,0.007055303704716424,-0.021849128703232374,-0.20404808328234625,0.08565364343069026,0.026508023494268187,0.13986062373080796,0.9890101275312088
720.0,0.043237157310669815,-0.02911126152482562,-0.2029477111536807,0.01131696753705553,-0.00330168619343534,0.1357203750312642,1.0121356961206809
760.0,0.07118199513064555,-0.023019137467280237,-0.19663006521515805,0.03087973291086122,-0.031184935319643423,0.12728232363603528,1.0193828422267641
800.0,0.07175869629867071,-0.0026921494083606296,-0.1887142186746241,0.03266562897005734,-0.04057751967241937,0.11984270513590113,1.001038647570247
840.0,0.04359692227534075,0.018344398328284633,-0.1805947794452212,0.093913322791087,-0.0243326326024785,0.11435188251752819,0.9688952740808441
920.0,-0.025894352107218063,0.03979047755718522,-0.16383752124964288,0.12622770892821988,0.029129180267239107,0.10335533283647619,0.9165089439542147
960.0,-0.05574809180303608,0.0454054135565454,-0.15435337729296733,0.2615096031355877,0.05410799489268886,0.09639058102320718,0.8971302092666763
1000.0,-0.08609468191780047,0.053253304607794386,-0.14403577647598895,0.4790613205702652,0.07910567443592154,0.08819657031704671,0.8753248898058975
1680.0,0.00612635964247845,-0.02853228890057373,-0.1769444673177644,0.018862045802595307,0.031053939701013517,0.11270267015100345,0.9938589439809089
1720.0,0.03777251651615508,-0.032067275481513315,-0.1811170355911111,0.03360388880170477,0.003503095688066591,0.11421045834511878,1.0117954620967369
1760.0,0.07173144676027036,-0.02568254136930635,-0.18229610098606072,0.04792464819432968,-0.030317829409891032,0.11265520865587868,1.0216742934765686
1800.0,0.09734702615493274,-0.011222815321762291,-0.17933786569950144,0.04994166721821086,-0.059643021368372406,0.1078910954085693,1.0201087581586858
1840.0,0.10539209311863389,0.006120822487057019,-0.17136038108559876,0.04129942439165358,-0.0743426483565772,0.09977863632579548,1.0076991644987585
1880.0,0.10878119323558669,0.02385116475846647,-0.16848992241092314,0.044013443014865206,-0.08493824841969004,0.09699586330899528,0.9930625129721689
1920.0,0.10848359875757914,0.017521981091274456,-0.17036692370985665,0.04445862476167605,-0.08205558843327465,0.09868213059791524,0.9986079721601574
1960.0,0.08458067358336593,-0.015009935631097659,-0.17219344573953332,0.05096183628832489,-0.0465440106526206,0.10172080753747798,1.0175381572787454
