step,q5,m_t,m_id,px,py,pz,qx,qy,qz,qw
0,-1.39,f,0,0.1264860204060872,0.06302722947862413,0.9309374145507813,0.0,0.0,0.0,1
0,-1.39,f,1,0.0410544069925944,0.06301613176133898,0.9016931138780385,0.0,0.0,0.0,1
0,-1.39,f,2,0.0970081773546007,0.06303825047810872,0.8996079440646703,0.0,0.0,0.0,1
0,-1.39,f,3,0.09386080017089846,0.12908438347710505,0.9044896050347222,0.0,0.0,0.0,1
0,-1.39,m,112,0.12600590468426134,0.06302667983697388,0.9309887570750961,0.11534867829438962,0.6978909703901935,-0.697349394174853,0.11552791137875312
1,-1.2576190476190474,f,0,0.1264821724785699,0.06303359849717884,0.9309418823242186,0.0,0.0,0.0,1
1,-1.2576190476190474,f,1,0.041056124454074444,0.0630165225558811,0.9016793646918402,0.0,0.0,0.0,1
1,-1.2576190476190474,f,2,0.09700946892632378,0.06304454311794705,0.8996064073350698,0.0,0.0,0.0,1
1,-1.2576190476190474,f,3,0.09346020677354602,0.13076089070638017,0.9046230916341146,0.0,0.0,0.0,1
1,-1.2576190476190474,m,112,0.12600258652707366,0.0630335962823097,0.9309922095765459,0.11538680997021464,0.6979084971535029,-0.6973095743185462,0.11562426756319152
2,-1.1252380952380951,f,0,0.12648150004511297,0.06303113000289252,0.9309361598802649,0.0,0.0,0.0,1
2,-1.1252380952380951,f,1,0.04105683534041694,0.0630143930186396,0.9016682022758153,0.0,0.0,0.0,1
2,-1.1252380952380951,f,2,0.09701015372898268,0.06304234430064325,0.8995992179538893,0.0,0.0,0.0,1
2,-1.1252380952380951,f,3,0.09257224373195481,0.13361889747951344,0.9050316838803497,0.0,0.0,0.0,1
2,-1.1252380952380951,m,112,0.1260011890956334,0.06303044992563675,0.9309872548628827,0.11540900573142805,0.6979107248334436,-0.6973010019150718,0.11564036616501014
3,-0.9928571428571428,f,0,0.12648446489417034,0.06303163047458812,0.9309456667692764,0.0,0.0,0.0,1
3,-0.9928571428571428,f,1,0.04105784200585407,0.0630164403500764,0.9016846857485564,0.0,0.0,0.0,1
3,-0.9928571428571428,f,2,0.09701253575864045,0.06304290514406953,0.8996099734099019,0.0,0.0,0.0,1
3,-0.9928571428571428,f,3,0.09134873282391091,0.13640217623503312,0.9057088503630267,0.0,0.0,0.0,1
3,-0.9928571428571428,m,112,0.12600574835952447,0.06303097308411892,0.9309948419064892,0.11538324135238859,0.6979085914817685,-0.6973134616494133,0.11560381374964449
4,-0.8604761904761904,f,0,0.12648321567111548,0.06303046586778428,0.9309505506727435,0.0,0.0,0.0,1
4,-0.8604761904761904,f,1,0.04105901896158854,0.0630147585550944,0.9016814927842881,0.0,0.0,0.0,1
4,-0.8604761904761904,f,2,0.09701292232937282,0.06304122339884442,0.8996136759440102,0.0,0.0,0.0,1
4,-0.8604761904761904,f,3,0.08980304311116535,0.13902864651150176,0.9065956990559894,0.0,0.0,0.0,1
4,-0.8604761904761904,m,112,0.12600318130181754,0.06302963646090759,0.9310012256855866,0.11542321473836063,0.6978975090518083,-0.6973114179545726,0.11564313532988732
