step,q5,m_t,m_id,px,py,pz,qx,qy,qz,qw
0,-1.39,f,0,0.13758350219726562,0.05344148288302953,0.9075399536132817,0.0,0.0,0.0,1
0,-1.39,f,1,0.050612212965223516,0.06038946456909181,0.8844478556315105,0.0,0.0,0.0,1
0,-1.39,f,2,0.10496943901909722,0.048347655741373695,0.8798536878797745,0.0,0.0,0.0,1
0,-1.39,f,3,0.11366067623562286,0.11327561238606773,0.8609192884657121,0.0,0.0,0.0,1
0,-1.39,m,112,0.1371122162488042,0.05355472440135723,0.9076004065688774,-0.12853478234244128,-0.5465171415736066,0.8266571785482778,-0.03789106555635939
1,-1.2576190476190474,f,0,0.13758263414171007,0.05344881286621094,0.9075419013129339,0.0,0.0,0.0,1
1,-1.2576190476190474,f,1,0.05061088689168294,0.06038776863945855,0.8844539632161458,0.0,0.0,0.0,1
1,-1.2576190476190474,f,2,0.1049699298434787,0.048353034888373475,0.8798547159830729,0.0,0.0,0.0,1
1,-1.2576190476190474,f,3,0.11352652435302735,0.11496715037027995,0.8606491821289066,0.0,0.0,0.0,1
1,-1.2576190476190474,m,112,0.13711210445481906,0.05356130880239058,0.9076017132194678,-0.12848451703410008,-0.5465861496291657,0.8266176082705462,-0.0379294030161183
2,-1.1252380952380951,f,0,0.13758193393283422,0.05344898028903538,0.9075488823784722,0.0,0.0,0.0,1
2,-1.1252380952380951,f,1,0.05061072387695312,0.060387618001302094,0.8844603651258681,0.0,0.0,0.0,1
2,-1.1252380952380951,f,2,0.10496951446533201,0.04835336117214627,0.8798616712782117,0.0,0.0,0.0,1
2,-1.1252380952380951,f,3,0.11319263949924047,0.11796211327446833,0.8602308336046007,0.0,0.0,0.0,1
2,-1.1252380952380951,m,112,0.13711132625657688,0.053561370693907456,0.9076096814213969,-0.1284995590167566,-0.5465801470037543,0.8266188165119478,-0.0379386138681961
3,-0.9928571428571428,f,0,0.13758346557617188,0.05344734105196865,0.9075508062189275,0.0,0.0,0.0,1
3,-0.9928571428571428,f,1,0.05061131451346656,0.06038642163710161,0.8844565984552556,0.0,0.0,0.0,1
3,-0.9928571428571428,f,2,0.10497050510753286,0.04835195289958607,0.8798617775656961,0.0,0.0,0.0,1
3,-0.9928571428571428,f,3,0.11256169041720304,0.12097344901344996,0.8599888153076175,0.0,0.0,0.0,1
3,-0.9928571428571428,m,112,0.13711165852449378,0.05355981102768255,0.9076110217036033,-0.1285112736784764,-0.5465785956628715,0.8266176709993327,-0.037946242137766525
