step,q5,m_t,m_id,px,py,pz,qx,qy,qz,qw
0,-1.39,f,0,0.13758936360677082,0.05343854353162978,0.9075675564236109,0.0,0.0,0.0,1
0,-1.39,f,1,0.05062267617119684,0.06040258483886719,0.8844633951822917,0.0,0.0,0.0,1
0,-1.39,f,2,0.10497860361735027,0.04835585183037652,0.8798743543836806,0.0,0.0,0.0,1
0,-1.39,f,3,0.11364472757975262,0.11327680681016711,0.8609338053385418,0.0,0.0,0.0,1
0,-1.39,m,112,0.137117946391203,0.05355129880321269,0.9076265806859852,-0.12864438639184445,-0.5466289394503988,0.8265668949736732,-0.037876015349807474
1,-1.2576190476190474,f,0,0.13758210449218755,0.053451818423801,0.9075786254882812,0.0,0.0,0.0,1
1,-1.2576190476190474,f,1,0.0506162582397461,0.060407463073730475,0.8844673285590279,0.0,0.0,0.0,1
1,-1.2576190476190474,f,2,0.10497322913275826,0.04836725413004556,0.8798799750434032,0.0,0.0,0.0,1
1,-1.2576190476190474,f,3,0.11350710144042965,0.11495935753716363,0.8606596055772568,0.0,0.0,0.0,1
1,-1.2576190476190474,m,112,0.137109836984188,0.0535641203535364,0.9076381991771945,-0.12864316450068888,-0.5466815857607658,0.826529292570551,-0.03794085581754499
2,-1.1252380952380951,f,0,0.13758980228589926,0.05344731463556703,0.9075655398161516,0.0,0.0,0.0,1
2,-1.1252380952380951,f,1,0.05061843606700068,0.06040128782521124,0.8844722688094432,0.0,0.0,0.0,1
2,-1.1252380952380951,f,2,0.1049793070917544,0.04836268093274988,0.8798747001316236,0.0,0.0,0.0,1
2,-1.1252380952380951,f,3,0.11318350982666014,0.11795779153575067,0.8602195408033289,0.0,0.0,0.0,1
2,-1.1252380952380951,m,112,0.13711877628248562,0.05355975738836794,0.9076252964564732,-0.12855460001417793,-0.546695837425291,0.8265355811874892,-0.03789867000455391
3,-0.9928571428571428,f,0,0.13758569268120655,0.05344685685899522,0.9075639580620658,0.0,0.0,0.0,1
3,-0.9928571428571428,f,1,0.05062216703626846,0.0604021275838216,0.8844488606770835,0.0,0.0,0.0,1
3,-0.9928571428571428,f,2,0.10497767825656466,0.048362562306722014,0.8798659545898437,0.0,0.0,0.0,1
3,-0.9928571428571428,f,3,0.11253800981309679,0.12097816738552516,0.8599791951497394,0.0,0.0,0.0,1
3,-0.9928571428571428,m,112,0.13711441226881374,0.05355937109188158,0.9076229796117667,-0.12864758308730256,-0.546668857072479,0.8265369680296059,-0.03794206838446508
4,-0.8604761904761904,f,0,0.1375876227484809,0.053446096038818364,0.9075738593207467,0.0,0.0,0.0,1
4,-0.8604761904761904,f,1,0.05062126829359268,0.06040211868286135,0.8844670220269099,0.0,0.0,0.0,1
4,-0.8604761904761904,f,2,0.10497928195529514,0.048361282687717014,0.8798781684027777,0.0,0.0,0.0,1
4,-0.8604761904761904,f,3,0.1115806684705946,0.12395863359239367,0.8598946777343751,0.0,0.0,0.0,1
4,-0.8604761904761904,m,112,0.13711656749491782,0.053558983394077844,0.9076334377989482,-0.12862354898943718,-0.5466587184881442,0.8265482103689505,-0.037924715979777854
5,-0.728095238095238,f,0,0.13758937731656168,0.05344644251736728,0.9075710726651279,0.0,0.0,0.0,1
5,-0.728095238095238,f,1,0.050624304771423344,0.060401789231733845,0.8844611525102096,0.0,0.0,0.0,1
5,-0.728095238095238,f,2,0.10498172083767977,0.048360575589266694,0.8798754452792081,0.0,0.0,0.0,1
5,-0.728095238095238,f,3,0.11029907920143822,0.12683332027088515,0.8600047205144709,0.0,0.0,0.0,1
5,-0.728095238095238,m,112,0.13711815191774948,0.05355901064191547,0.9076311633051659,-0.12863999283117145,-0.5466345387483704,0.8265613350341968,-0.037931421252555164
6,-0.5957142857142856,f,0,0.13758819580078122,0.053447933620876735,0.907575481499566,0.0,0.0,0.0,1
6,-0.5957142857142856,f,1,0.050623315175374356,0.06040088407728407,0.8844605061848958,0.0,0.0,0.0,1
6,-0.5957142857142856,f,2,0.10498151719835072,0.04836051059299045,0.8798789103190103,0.0,0.0,0.0,1
6,-0.5957142857142856,f,3,0.10869273156060115,0.12951261834038624,0.8602828708224829,0.0,0.0,0.0,1
6,-0.5957142857142856,m,112,0.1371165021001076,0.05356050467977718,0.9076354581871808,-0.12865255881207055,-0.5466194493596281,0.8265683544720858,-0.03795328810777827
7,-0.46333333333333326,f,0,0.13758660921843155,0.05344796470973802,0.9075762276027513,0.0,0.0,0.0,1
7,-0.46333333333333326,f,1,0.050622978542162016,0.06039833906422488,0.8844568441639776,0.0,0.0,0.0,1
7,-0.46333333333333326,f,2,0.10498110298488453,0.048359087156212836,0.8798780875827954,0.0,0.0,0.0,1
7,-0.46333333333333326,f,3,0.10682621217810591,0.1319445999808934,0.8608321148416266,0.0,0.0,0.0,1
7,-0.46333333333333326,m,112,0.13711482737015707,0.05356048007887236,0.907635896643814,-0.1286692981389257,-0.5466152694470433,0.8265672940913773,-0.03797982704319847
8,-0.3309523809523809,f,0,0.13758831854926212,0.05344749332004122,0.9075754950629341,0.0,0.0,0.0,1
8,-0.3309523809523809,f,1,0.05062419425116645,0.06039784749348957,0.8844580837673613,0.0,0.0,0.0,1
8,-0.3309523809523809,f,2,0.10498240407307943,0.04835851652357314,0.879879096137153,0.0,0.0,0.0,1
8,-0.3309523809523809,f,3,0.10473273078070747,0.1341247463650173,0.8616520345052083,0.0,0.0,0.0,1
8,-0.3309523809523809,m,112,0.13711669797313455,0.05356061935424804,0.9076357571348854,-0.12865925691581143,-0.5465964835982344,0.8265815308290844,-0.037974367936328114
9,-0.19857142857142862,f,0,0.13758642476399738,0.05344606145222982,0.9075783189561631,0.0,0.0,0.0,1
9,-0.19857142857142862,f,1,0.05062390755547417,0.06039441892835828,0.8844566772460934,0.0,0.0,0.0,1
9,-0.19857142857142862,f,2,0.1049823711819119,0.048356119367811416,0.879878655327691,0.0,0.0,0.0,1
9,-0.19857142857142862,f,3,0.10244015638563364,0.13603874274359803,0.8627688042534719,0.0,0.0,0.0,1
9,-0.19857142857142862,m,112,0.13711518891003668,0.053559072066326534,0.9076379357162787,-0.12866687844481373,-0.5466023605853837,0.826575679993226,-0.037991302129434114
10,-0.06619047619047613,f,0,0.1375884948730469,0.05344686737060547,0.9075739786783855,0.0,0.0,0.0,1
10,-0.06619047619047613,f,1,0.050624914805094394,0.06039616546630859,0.8844548746744791,0.0,0.0,0.0,1
10,-0.06619047619047613,f,2,0.1049840037027995,0.04835723393758138,0.8798761678059897,0.0,0.0,0.0,1
10,-0.06619047619047613,f,3,0.10000881398518881,0.13762882080078126,0.8640797322591146,0.0,0.0,0.0,1
10,-0.06619047619047613,m,112,0.13711734880719867,0.05355953636947943,0.9076363512934472,-0.12866831131262896,-0.5465950622417044,0.8265807447653934,-0.03798125827340852
11,0.06619047619047636,f,0,0.1375889695909288,0.05344803424411348,0.9075707248263887,0.0,0.0,0.0,1
11,0.06619047619047636,f,1,0.05062511893378364,0.060396895938449435,0.8844498196072051,0.0,0.0,0.0,1
11,0.06619047619047636,f,2,0.104984332953559,0.04835786031087241,0.8798715711805556,0.0,0.0,0.0,1
11,0.06619047619047636,f,3,0.097474052090115,0.1388599867078993,0.8655583468967015,0.0,0.0,0.0,1
11,0.06619047619047636,m,112,0.1371175163424745,0.0535603738123057,0.9076273828623247,-0.1286610768036686,-0.5466086907853512,0.8265727205745028,-0.0379842608946076
12,0.19857142857142862,f,0,0.13758736436631944,0.05344769134521484,0.9075746337890622,0.0,0.0,0.0,1
12,0.19857142857142862,f,1,0.05062243949042424,0.06039717695448133,0.8844565836588544,0.0,0.0,0.0,1
12,0.19857142857142862,f,2,0.10498202785915803,0.04835789015028211,0.8798771335177951,0.0,0.0,0.0,1
12,0.19857142857142862,f,3,0.09487916039360894,0.13972908291286892,0.8672152425130207,0.0,0.0,0.0,1
12,0.19857142857142862,m,112,0.1371156709632095,0.05356026707863322,0.9076350172393175,-0.12865793265656875,-0.5465928821825371,0.826583930393452,-0.03797846135953733
13,0.3309523809523809,f,0,0.13758739759657118,0.053446497005886495,0.9075719550238711,0.0,0.0,0.0,1
13,0.3309523809523809,f,1,0.05062201402452257,0.060396165381537546,0.8844583455403647,0.0,0.0,0.0,1
13,0.3309523809523809,f,2,0.10498104926215276,0.04835702557033962,0.8798751749674482,0.0,0.0,0.0,1
13,0.3309523809523809,f,3,0.09223846164279513,0.14026118435329862,0.8691021199544271,0.0,0.0,0.0,1
13,0.3309523809523809,m,112,0.13711575473084744,0.05355824435487087,0.907633194903938,-0.128639613498049,-0.5466073693456951,0.8265778356326081,-0.03796465799878231
14,0.4633333333333334,f,0,0.13758724909243378,0.05344748455545176,0.9075663253120756,0.0,0.0,0.0,1
14,0.4633333333333334,f,1,0.05062164190541144,0.06039658878160559,0.884457385519277,0.0,0.0,0.0,1
14,0.4633333333333334,f,2,0.10497964510710343,0.04835784837473994,0.8798718129033627,0.0,0.0,0.0,1
14,0.4633333333333334,f,3,0.08965694775788678,0.14041275455640714,0.8710803740128228,0.0,0.0,0.0,1
14,0.4633333333333334,m,112,0.13711589143714123,0.053560060150769286,0.9076274937220983,-0.1286234449812128,-0.5466073512350172,0.8265806795979511,-0.0379577803933896
15,0.5957142857142859,f,0,0.13758697204589843,0.053444287278917105,0.9075679117838539,0.0,0.0,0.0,1
15,0.5957142857142859,f,1,0.05061967434353299,0.060394900936550575,0.8844624918619792,0.0,0.0,0.0,1
15,0.5957142857142859,f,2,0.10497767757839627,0.04835537456936307,0.8798734876844618,0.0,0.0,0.0,1
15,0.5957142857142859,f,3,0.08712230139838324,0.14019331970214843,0.8731478447808161,0.0,0.0,0.0,1
15,0.5957142857142859,m,112,0.13711558377012917,0.05355730438232423,0.9076271337392381,-0.12860172029532171,-0.5466189675444799,0.8265772792590439,-0.03793815059287116
16,0.7280952380952381,f,0,0.137586826578776,0.053446694013807534,0.9075616577148439,0.0,0.0,0.0,1
16,0.7280952380952381,f,1,0.0506180182562934,0.06039864154391817,0.8844636420355901,0.0,0.0,0.0,1
16,0.7280952380952381,f,2,0.10497567206488718,0.048358334181043836,0.8798703599717882,0.0,0.0,0.0,1
