step,q5,m_t,m_id,px,py,pz,qx,qy,qz,qw
14,0.4633333333333334,f,1,0.04105853593614366,0.06301436733669705,0.9016739773220483,0.0,0.0,0.0,1
14,0.4633333333333334,f,2,0.09701478593614365,0.06304647216796874,0.8996173746744791,0.0,0.0,0.0,1
14,0.4633333333333334,f,3,0.06573217790391711,0.1467394134521485,0.9193510932074654,0.0,0.0,0.0,1
14,0.4633333333333334,m,112,0.1259968227464326,0.0630418592959034,0.9310128883828923,0.11546064851662845,0.6978470964887887,-0.6973349694031209,0.11576791012122147
16,0.7280952380952381,f,0,0.12647678782145186,0.06304281963772243,0.9309530721028649,0.0,0.0,0.0,1
16,0.7280952380952381,f,1,0.04105591922336154,0.06301180538601346,0.9016757093641495,0.0,0.0,0.0,1
16,0.7280952380952381,f,2,0.09701098005506728,0.06304563090006511,0.899612278917101,0.0,0.0,0.0,1
16,0.7280952380952381,f,3,0.060717667643229174,0.14463335130479602,0.9231017754448784,0.0,0.0,0.0,1
16,0.7280952380952381,m,112,0.12599757930210653,0.0630423810530682,0.9310032024772799,0.11540184087232717,0.6978548795332408,-0.6973428596661181,0.11573209713646808
17,0.8604761904761904,f,0,0.12647539171965225,0.06304235632523246,0.9309553434952447,0.0,0.0,0.0,1
17,0.8604761904761904,f,1,0.04105235812975013,0.06301014568494714,0.9016872717815896,0.0,0.0,0.0,1
17,0.8604761904761904,f,2,0.09700725273464035,0.06304512372224227,0.8996174396017322,0.0,0.0,0.0,1
17,0.8604761904761904,f,3,0.05855063455001168,0.1430244080916695,0.924800494650136,0.0,0.0,0.0,1
17,0.8604761904761904,m,112,0.12599648425043847,0.06304250631527025,0.9310051107601244,0.11536175891304945,0.6978623083405544,-0.6973461074226808,0.11570769049858137
18,0.9928571428571427,f,0,0.12647695922851565,0.06304418818155924,0.9309425075954861,0.0,0.0,0.0,1
18,0.9928571428571427,f,1,0.04104976535373264,0.06301180140177408,0.901684659830729,0.0,0.0,0.0,1
18,0.9928571428571427,f,2,0.09700439097086588,0.06304715203179254,0.899607873535156,0.0,0.0,0.0,1
18,0.9928571428571427,f,3,0.05665017369588215,0.14117141113281248,0.9264788506401912,0.0,0.0,0.0,1
18,0.9928571428571427,m,112,0.1259979627959582,0.06304382612267317,0.930992815290179,0.11531469422451894,0.6978815739061062,-0.6973422536160604,0.11566162466399983
