q5,x,y,z
-1.39,0.05424140379163952,-0.004131226857503255,1.0374219645182288
-1.2576190476190474,0.054684519110785604,-0.0029599791155921094,1.0374278103298613
-1.1252380952380951,0.05569902005402939,-0.00029513988935429115,1.0370716101604958
-0.9928571428571428,0.05700885297987198,0.002358481740951539,1.036437562391493
-0.8604761904761904,0.058655030568440764,0.004941858143276637,1.0357176676432287
-0.728095238095238,0.06058972026990806,0.007303915148196012,1.0349656425144362
-0.5957142857142856,0.06280060863494873,0.009549135684967042,1.0337473297119142
-0.3309523809523809,0.0675377482096354,0.012022381824917263,1.0307129096137153
-0.19857142857142862,0.07008485022650825,0.012830448638068306,1.028826847330729
-0.06619047619047613,0.07268884073893231,0.013239650090535486,1.0269409152560764
0.06619047619047636,0.07522849949923431,0.013269010413776745,1.0251824424050069
0.19857142857142862,0.0777751358695652,0.012931375980377193,1.0235845323645554
0.3309523809523809,0.08020551588270398,0.012253969637552898,1.0221469875759548
0.4633333333333334,0.08254038679334852,0.011184220208062066,1.0207856323242188
0.5957142857142859,0.08473562503390844,0.009731123182508678,1.0195062757703992
0.7280952380952381,0.08671171434190537,0.00795013910929362,1.0183283379448784
0.8604761904761904,0.08852228181258492,0.005741786262263423,1.0169566305409312
0.9928571428571427,0.09007469567192924,0.0028402020454406742,1.0155472886827253
1.1252380952380954,0.09122200554741754,2.645448479387496e-05,1.0144139851888023
1.2576190476190476,0.09200355699327258,-0.0024524557802412246,1.0136618326822915
1.39,0.09253932766384547,-0.004988306543562147,1.0130652560763886
